name,price,category,description,image,stock
Trail Hiking Boots,3299,Footwear,Waterproof heavy duty outdoor trekking boots,https://images.unsplash.com/photo-1520639888713-7851133b1ed0?w=500,11
Designer Silk Tie,399,Accessories,Elegant necktie for formal business wear,https://images.unsplash.com/photo-1589756823695-278bc923f962?w=500,30
Wireless Charging Pad,999,Electronics,Fast qi-certified slim charging station,https://images.unsplash.com/photo-1622445268465-843d31408605?w=500,17
High Waist Gym Leggings,799,Fashion,Stretchable moisture wicking workout tights,https://images.unsplash.com/photo-1506629082955-511b1aa562c8?w=500,21
Leather Reversible Belt,699,Accessories,Classic pin buckle black and brown belt,https://images.unsplash.com/photo-1624222247344-550fb60583dc?w=500,38
4K Action Camera,4599,Electronics,Waterproof sports camera with helmet mounts,https://images.unsplash.com/photo-1526170375885-4d8ecf77b99f?w=500,9
Slip-On Loafers,1699,Footwear,Comfortable suede casual driving shoes,https://images.unsplash.com/photo-1533867617858-e7b97e060509?w=500,15
Overnight Travel Duffel,2199,Accessories,Vintage canvas and leather travel holdall,https://images.unsplash.com/photo-1547949003-9792a18a2601?w=500,13
USB-C Multiport Hub,1599,Electronics,7-in-1 adapter with HDMI USB and SD reader,https://images.unsplash.com/photo-1544652478-6653e09f18a2?w=500,23
Denim Slim Fit Jeans,1499,Fashion,Stretchable stylish blue casual denim pants,https://images.unsplash.com/photo-1541099649105-f69ad21f3246?w=500,31
Air Purifier for Room,5999,Electronics,HEPA filter desktop air cleaner for home,https://images.unsplash.com/photo-1585771724684-38269d6639fd?w=500,6
Classic Aviator Sunglasses,1199,Fashion,Golden frame vintage style aviators,https://images.unsplash.com/photo-1572635196237-14b3f281503f?w=500,29
Flat Slip-On Sandals,699,Footwear,Casual summer open toe flat sandals,https://images.unsplash.com/photo-1603808033192-082d6919d3e1?w=500,42
Foldable Travel Umbrella,499,Accessories,Windproof compact automatic open umbrella,https://images.unsplash.com/photo-1517420879524-86d64ac2f339?w=500,55
Ring Light with Tripod Stand,1299,Electronics,10 inch LED studio light for video recording,https://images.unsplash.com/photo-1590658268037-6bf12165a8df?w=500,18
Chino Trousers,1199,Fashion,Formal and casual cotton stretch chino pants,https://images.unsplash.com/photo-1473966968600-fa801b869a1a?w=500,26
Anti Theft Travel Crossbody Bag,999,Accessories,Compact chest sling shoulder bag,https://images.unsplash.com/photo-1553062407-98eeb64c6a62?w=500,33
Ergonomic Office Chair Cushion,899,Accessories,Memory foam seat cushion for back relief,https://images.unsplash.com/photo-1580481072645-022f9a6d83d0?w=500,20
Digital Alarm Clock,599,Electronics,LED display bedside table clock with temperature,https://images.unsplash.com/photo-1563861826100-9cb868fdbe1c?w=500,37
High Ankle Basketball Shoes,2799,Footwear,Shock absorption high traction sports shoes,https://images.unsplash.com/photo-1579338559194-a162d19bf842?w=500,12
Polo Collar T-Shirt,699,Fashion,Classic solid pique cotton polo shirt,https://images.unsplash.com/photo-1586363104862-3a5e2ab60d99?w=500,50
Waterproof Phone Pouch,299,Accessories,Universal dry bag for underwater photography,https://images.unsplash.com/photo-1512499617640-c74ae3a79d37?w=500,70
Electric Toothbrush,1499,Electronics,Rechargeable sonic toothbrush with timer,https://images.unsplash.com/photo-1559591937-e58af10078d4?w=500,22
Comfortable Flip Flops,399,Footwear,Lightweight anti-skid rubber beach slippers,https://images.unsplash.com/photo-1603808033192-082d6919d3e1?w=500,65
Woolen Knitted Beanie,349,Fashion,Soft warm winter skull cap,https://images.unsplash.com/photo-1576871337632-b9aef4c17ab9?w=500,48
Laptop Cooling Pad,1099,Electronics,Dual fan quiet RGB cooling stand for laptop,https://images.unsplash.com/photo-1527864550417-7fd91fc51a46?w=500,16
Leather Card Holder,499,Accessories,Ultra thin pocket business card case,https://images.unsplash.com/photo-1627123424574-724758594e93?w=500,34
Casual Slip-On Canvas Shoes,999,Footwear,Breathable everyday casual walking shoes,https://images.unsplash.com/photo-1560769629-975ec94e6a86?w=500,27
Thermal Insulated Travel Mug,749,Accessories,Stainless steel coffee tumbler with lid,https://images.unsplash.com/photo-1514432324607-a09d9b4aefdd?w=500,40
